Rank,Rank100,Rank300,Rank500,Player,@001nic2nÏco3vöe,Age,Points,TournamentPlayed,Weightkg,Heightcm,Win,Lose,Prizemoney,Aces,DoubleFaults,@1stServe,@1stServePointsWon,@2ndServePointsWon,BreakPointsFaced,BreakPointsSaved,ServiceGamesPlayed,ServiceGamesWon,TotalServicePointsWon,@1stServeReturnPointsWon,@2ndServeReturnPointsWon,BreakPointsOpportunities,BreakPointsConverted,ReturnGamesPlayed,ReturnGamesWon,ReturnPointsWon,TotalPointsWon,VAR00001
1,1,1,1,Carlos Alcaraz,3,19,6820,17,74.0,183,57,13,7627612,258,173,.66,.72,.55,401,.65,890.000,.84,.66,.34,.53,684,.40,897.000,.31,.41,.53, 
2,1,1,1,Rafael Nadal,3,36,6020,14,85.0,185,39,8,7440806,12,8,.59,.67,.49,24,.67,28.000,.71,.59,.32,.46,18,.28,28.000,.18,.37,.48, 
3,1,1,1,Casper Ruud,3,24,5820,23,77.0,183,51,22,6930042,410,144,.65,.75,.55,361,.63,912.000,.85,.68,.29,.50,538,.37,888.000,.23,.37,.52, 
4,1,1,1,Stefanos Tsitsipas,3,24,5550,23,90.0,193,61,24,5479441,628,175,.63,.76,.55,433,.66,1.068,.86,.69,.29,.50,535,.41,1.046,.21,.36,.52, 
5,1,1,1,Novak Djokovic,3,35,4820,14,77.0,188,52,7,9934581,291,92,.66,.77,.56,205,.64,602.000,.88,.70,.33,.56,388,.43,576.000,.29,.41,.55, 
6,1,1,1,Felix Auger-Aliassime,3,22,4195,26,88.0,193,60,27,4107341,890,278,.65,.77,.50,427,.67,1.019,.86,.68,.31,.48,555,.38,996.000,.21,.37,.52, 
7,1,1,1,Daniil Medvedev,3,26,4065,21,83.0,198,45,19,4146311,590,253,.64,.76,.51,334,.68,785.000,.86,.67,.32,.54,490,.42,779.000,.27,.40,.53, 
8,1,1,1,Andrey Rublev,3,25,3930,23,75.0,188,51,20,4106246,558,147,.62,.77,.51,371,.64,888.000,.85,.67,.30,.51,530,.39,888.000,.24,.38,.52, 
9,1,1,1,Taylor Fritz,3,25,3355,22,86.0,196,46,21,4489807,642,135,.62,.76,.53,355,.62,856.000,.84,.67,.30,.52,544,.38,845.000,.24,.38,.52, 
10,1,1,1,Hubert Hurkacz,3,25,2905,21,81.0,196,41,21,3011574,827,101,.63,.78,.55,261,.70,825.000,.91,.70,.27,.48,382,.38,810.000,.18,.35,.52, 
11,1,1,1,Holger Rune,3,19,2888,27,77.0,188,39,24,2335215,278,218,.64,.72,.53,364,.65,762.000,.83,.65,.30,.50,421,.41,774.000,.22,.37,.51, 
12,1,1,1,Alexander Zverev,3,25,2700,18,90.0,198,29,10,2585003,272,141,.70,.74,.48,191,.61,453.000,.83,.66,.33,.50,262,.46,453.000,.26,.39,.53, 
13,1,1,1,Pablo Carreno Busta,3,31,2495,24,78.0,188,37,25,2842960,242,112,.67,.71,.57,367,.63,777.000,.83,.66,.30,.52,488,.39,773.000,.24,.38,.52, 
14,1,1,1,Cameron Norrie,3,27,2445,23,82.0,188,49,26,2846575,330,143,.65,.71,.51,460,.63,900.000,.81,.64,.31,.53,556,.44,909.000,.27,.39,.52, 
15,1,1,1,Jannik Sinner,3,21,2410,18,76.0,188,47,16,2818491,370,173,.58,.74,.53,353,.63,784.000,.83,.66,.32,.53,497,.41,772.000,.27,.40,.53, 
16,1,1,1,Matteo Berrettini,3,26,2375,19,95.0,196,32,12,2183649,508,85,.64,.78,.52,225,.69,574.000,.88,.69,.29,.45,281,.37,580.000,.18,.34,.51, 
17,1,1,1,Marin Cilic,3,34,2105,20,89.0,198,32,21,1955408,588,171,.59,.78,.52,284,.65,684.000,.86,.67,.31,.50,399,.39,674.000,.23,.38,.52, 
18,1,1,1,Denis Shapovalov,3,23,2075,23,75.0,185,34,26,2409458,496,324,.62,.77,.53,332,.65,780.000,.85,.67,.28,.48,398,.36,782.000,.18,.35,.51, 
19,1,1,1,Frances Tiafoe,3,24,2000,22,86.0,188,35,25,2032408,493,142,.57,.74,.52,414,.64,805.000,.81,.64,.26,.51,402,.38,813.000,.19,.36,.50, 
20,1,1,1,Karen Khachanov,3,26,1990,25,87.0,198,36,25,1889329,476,156,.64,.73,.51,406,.64,810.000,.82,.65,.28,.49,400,.41,808.000,.20,.36,.51, 
21,1,1,1,Roberto Bautista Agut,3,34,1940,23,75.0,183,39,20,1787925,146,88,.66,.71,.54,279,.61,611.000,.82,.65,.30,.55,414,.39,594.000,.27,.40,.52, 
22,1,1,1,Nick Kyrgios,3,27,1870,14,85.0,193,37,10,2916350,747,160,.68,.79,.56,184,.76,632.000,.93,.71,.27,.48,289,.43,632.000,.19,.35,.53, 
23,1,1,1,Lorenzo Musetti,3,20,1865,28,78.0,185,34,29,1620202,209,122,.65,.69,.54,362,.58,710.000,.78,.64,.30,.50,363,.46,713.000,.24,.37,.50, 
24,1,1,1,Alex de Minaur,3,23,1790,24,69.0,183,47,25,1990038,238,142,.60,.69,.52,463,.63,795.000,.78,.62,.33,.53,521,.44,802.000,.29,.40,.51, 
25,1,1,1,Diego Schwartzman,3,30,1700,23,64.0,170,31,26,1863282,65,208,.67,.63,.49,500,.59,673.000,.70,.58,.35,.54,504,.43,682.000,.32,.42,.50, 
26,1,1,1,Borna Coric,3,26,1685,19,85.0,188,20,13,1603586,190,51,.62,.74,.54,161,.61,355.000,.83,.66,.26,.49,172,.33,355.000,.16,.35,.50, 
27,1,1,1,Daniel Evans,3,32,1560,27,75.0,175,30,27,1612800,237,134,.62,.72,.51,339,.60,641.000,.79,.64,.30,.51,377,.42,649.000,.24,.38,.51, 
28,1,1,1,Grigor Dimitrov,3,31,1460,21,81.0,191,26,22,1488480,267,141,.63,.75,.51,253,.60,568.000,.82,.66,.30,.50,324,.39,568.000,.22,.37,.51, 
29,1,1,1,Miomir Kecmanovic,3,23,1420,23,75.0,183,38,26,1492669,223,89,.63,.69,.55,402,.62,733.000,.79,.64,.31,.53,459,.41,742.000,.25,.39,.51, 
30,1,1,1,Francisco Cerundolo,3,24,1395,23,80.0,185,23,22,1113269,117,129,.62,.67,.51,336,.62,508.000,.75,.61,.33,.52,343,.41,514.000,.28,.40,.50, 
31,1,1,1,Alejandro Davidovich Fokina,3,23,1280,25,80.0,183,21,26,1531720,147,132,.67,.66,.52,363,.54,640.000,.74,.61,.32,.50,419,.40,647.000,.26,.39,.50, 
32,1,1,1,Tommy Paul,3,25,1210,25,82.0,185,39,27,1408365,250,155,.62,.71,.51,412,.62,780.000,.80,.64,.31,.50,479,.39,775.000,.24,.38,.51, 
33,1,1,1,Sebastian Korda,3,22,1175,22,82.0,196,34,22,1070744,325,132,.63,.70,.50,367,.62,687.000,.80,.63,.32,.50,429,.42,676.000,.26,.39,.51, 
34,1,1,1,Maxime Cressy,3,25,1163,29,85.0,201,26,27,1080807,768,439,.62,.78,.54,242,.67,721.000,.89,.69,.24,.42,238,.40,719.000,.13,.31,.50, 
35,1,1,1,Botic van de Zandschulp,3,27,1160,27,85.0,191,38,29,1378753,402,239,.63,.72,.48,433,.62,742.000,.78,.63,.32,.50,445,.42,750.000,.25,.39,.51, 
36,1,1,1,Yoshihito Nishioka,3,27,1134,23,64.0,170,19,17,946014,81,38,.67,.64,.55,265,.61,430.000,.76,.61,.26,.54,233,.42,435.000,.22,.37,.49, 
37,1,1,1,Alexander Bublik,3,25,1130,26,82.0,196,33,27,1134817,715,363,.59,.78,.44,336,.63,667.000,.81,.64,.30,.46,334,.40,669.000,.20,.36,.50, 
38,1,1,1,Reilly Opelka,3,25,1095,22,102.0,211,21,15,874634,573,76,.65,.79,.58,149,.71,469.000,.91,.72,.22,.42,163,.31,459.000,.11,.29,.50, 
